UID	PID	PPID	LWP	NLWP	STIME	TIME	CMD
root	1	0	1	1	06:53:32	00:00:02	/sbin/init	
root	2	0	2	1	06:53:32	00:00:00	[kthreadd]	
root	3	2	3	1	06:53:32	00:00:00	[ksoftirqd/0]	
root	4	2	4	1	06:53:32	00:00:00	[kworker/0:0]	
root	5	2	5	1	06:53:32	00:00:00	[kworker/0:0H]	
root	6	2	6	1	06:53:32	00:00:00	[kworker/u2:0]	
root	7	2	7	1	06:53:32	00:00:00	[rcu_sched]	
root	8	2	8	1	06:53:32	00:00:00	[rcu_bh]	
root	9	2	9	1	06:53:32	00:00:00	[migration/0]	
root	10	2	10	1	06:53:32	00:00:00	[watchdog/0]	
root	11	2	11	1	06:53:32	00:00:00	[kdevtmpfs]	
root	12	2	12	1	06:53:32	00:00:00	[netns]	
root	13	2	13	1	06:53:32	00:00:00	[perf]	
root	14	2	14	1	06:53:32	00:00:00	[khungtaskd]	
root	15	2	15	1	06:53:32	00:00:00	[writeback]	
root	16	2	16	1	06:53:32	00:00:00	[ksmd]	
root	17	2	17	1	06:53:32	00:00:00	[khugepaged]	
root	18	2	18	1	06:53:32	00:00:00	[crypto]	
root	19	2	19	1	06:53:32	00:00:00	[kintegrityd]	
root	20	2	20	1	06:53:32	00:00:00	[bioset]	
root	21	2	21	1	06:53:32	00:00:00	[kblockd]	
root	22	2	22	1	06:53:32	00:00:00	[ata_sff]	
root	23	2	23	1	06:53:32	00:00:00	[md]	
root	24	2	24	1	06:53:32	00:00:00	[devfreq_wq]	
root	25	2	25	1	06:53:32	00:00:00	[kworker/u2:1]	
root	26	2	26	1	06:53:32	00:00:00	[kworker/0:1]	
root	28	2	28	1	06:53:32	00:00:00	[kswapd0]	
root	29	2	29	1	06:53:32	00:00:00	[vmstat]	
root	30	2	30	1	06:53:32	00:00:00	[fsnotify_mark]	
root	31	2	31	1	06:53:32	00:00:00	[ecryptfs-kthrea]	
root	47	2	47	1	06:53:32	00:00:00	[kthrotld]	
root	48	2	48	1	06:53:32	00:00:00	[acpi_thermal_pm]	
root	49	2	49	1	06:53:32	00:00:00	[bioset]	
root	50	2	50	1	06:53:32	00:00:00	[bioset]	
root	51	2	51	1	06:53:32	00:00:00	[bioset]	
root	52	2	52	1	06:53:32	00:00:00	[bioset]	
root	53	2	53	1	06:53:32	00:00:00	[bioset]	
root	54	2	54	1	06:53:32	00:00:00	[bioset]	
root	55	2	55	1	06:53:32	00:00:00	[bioset]	
root	56	2	56	1	06:53:32	00:00:00	[bioset]	
root	57	2	57	1	06:53:32	00:00:00	[scsi_eh_0]	
root	58	2	58	1	06:53:32	00:00:00	[scsi_tmf_0]	
root	59	2	59	1	06:53:32	00:00:00	[scsi_eh_1]	
root	60	2	60	1	06:53:32	00:00:00	[scsi_tmf_1]	
root	61	2	61	1	06:53:32	00:00:00	[kworker/u2:2]	
root	62	2	62	1	06:53:32	00:00:00	[kworker/u2:3]	
root	66	2	66	1	06:53:32	00:00:00	[ipv6_addrconf]	
root	79	2	79	1	06:53:32	00:00:00	[deferwq]	
root	80	2	80	1	06:53:32	00:00:00	[charger_manager]	
root	81	2	81	1	06:53:33	00:00:00	[bioset]	
root	122	2	122	1	06:53:33	00:00:00	[kworker/0:2]	
root	132	2	132	1	06:53:33	00:00:00	[kpsmoused]	
root	134	2	134	1	06:53:33	00:00:00	[kworker/0:3]	
root	135	2	135	1	06:53:33	00:00:00	[scsi_eh_2]	
root	139	2	139	1	06:53:33	00:00:00	[scsi_tmf_2]	
root	141	2	141	1	06:53:33	00:00:00	[kworker/0:1H]	
